family,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_degradation,ci_low_log_R_degradation,ci_high_log_R_degradation,median_log_R_abs_degradation,ci_low_log_R_abs_degradation,ci_high_log_R_abs_degradation,median_R_degradation_percent,ci_low_R_degradation_percent,ci_high_R_degradation_percent,median_R_abs_degradation_percent,ci_low_R_abs_degradation_percent,ci_high_R_abs_degradation_percent
PTA,0.4,0.1,288,24,0.2827928051889744,0.1708662223184552,0.4065068362669202,-0.012502273787719512,-0.08308000430506103,0.8764164662525871,32.68302209980825,18.633203365665672,50.15634064189951,-1.2424445045840458,-7.972248188845866,140.22756275255045
PTA,0.4,0.2,288,24,0.40483061878361193,0.27958828632367616,0.5220941943387221,0.46767748929533376,0.007798588455181963,1.405510917004944,49.9048567881851,32.258517382340166,68.55538334487656,59.62825014665436,0.7829076649555671,307.76095292043243
SBTA,0.0,0.0,72,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBTA,0.0,0.05,72,24,0.0017465434948162484,-0.0016762499565442408,0.04921785350310014,0.0008326134754284055,-0.0001487152613557775,0.12015377409822589,0.1748069590240576,-0.16748458342487257,5.0449169846080855,0.08329601942490483,-0.014870420378944716,12.767024472232524
SBTA,0.0,0.1,72,24,0.007417958693263846,-0.0026225612318224213,0.10412080785325938,0.04584885483623144,0.001249131015082156,0.602807013664467,0.744553990543673,-0.2619125322399027,10.973451146189527,4.691616268314712,0.12499115041724547,82.72406980167085
SBTA,0.0,0.2,72,24,0.08282527624827962,0.030360029050173626,0.2186309827966483,0.6528958463645862,0.007611438723119743,1.464116278156891,8.63519804712673,3.0825594312869518,24.437199727737678,92.10959805103549,0.7640479356413099,332.37205851430315
SBTA,0.05,0.0,72,24,-0.0017100285446692248,-0.005536502381267584,0.0008086602547065104,-0.0020423993176308347,-0.005021916964827192,-0.0013305867344359434,-0.17085672789115006,-0.5521204197789553,0.08089873085628252,-0.20403150393621533,-0.5009328221849728,-0.1329701896401777
SBTA,0.05,0.05,72,24,0.0017942817864360877,-0.003661714053628026,0.04853132778929676,-0.001206883775454155,-0.002996450083979058,0.08237222815655917,0.17958924731985704,-0.36550181540392357,4.972825697086614,-0.12061557841268539,-0.29919652081134007,8.585992225101325
SBTA,0.05,0.1,72,24,0.008140293837965638,-0.006348500939047353,0.10071530889542814,0.018603319639784097,-0.00045787941688732697,0.5139066865309474,0.8173516115030952,-0.6328391783794629,10.596173947138539,1.877743945012843,-0.04577746061046328,67.18096901955377
SBTA,0.05,0.2,72,24,0.06342372008544776,0.029888167989604704,0.21443486369289685,0.6515724011618399,0.0061093688229311325,1.3644538785119864,6.5478208114906495,3.0339302594761235,23.916140394795484,91.85551969157132,0.6128069079497145,291.35851753162495
SBTA,0.1,0.0,72,24,-0.003592542275675634,-0.009138404628809976,0.002427773251236261,-0.006343002510609175,-0.009950366366894994,-0.0038705387973687407,-0.358609681651276,-0.90967763112079,0.24307226790803405,-0.6322928136545081,-0.9901025261115128,-0.38630579168694723
SBTA,0.1,0.05,72,24,0.0029552783635563235,-0.009715030521152607,0.03723194111232569,-0.004532824776742016,-0.007882984449427088,0.044204244737076855,0.2959649503577229,-0.9667992062069298,3.793373242604048,-0.45225670312207394,-0.7851995210206408,4.519580883244822
SBTA,0.1,0.1,72,24,0.008875594226477351,-0.008742770097421205,0.08568951063460582,-0.002431654845782647,-0.006752452923142277,0.43894291538401803,0.8915099102834645,-0.870466321702671,8.946800755506608,-0.24287007680557351,-0.6729706340109609,55.106674281109576
SBTA,0.1,0.2,72,24,0.062496756881977714,0.028540490704849777,0.20873417199841074,0.6217021549800796,0.0018176530032737136,1.3339714638631395,6.4491006642293165,2.8951672969548494,23.21174236804397,86.20949199644359,0.18193059358280944,279.6089522561885
SBTA,0.2,0.0,72,24,-0.0038274297332081576,-0.027192022776474933,0.01702052546384853,-0.0182156656335098,-0.028080773727958426,-0.0012666557952633023,-0.38201144599010134,-2.6825648059671128,1.716619991904325,-1.80507631836207,-2.7690173460125496,-0.12658539254115642
SBTA,0.2,0.05,72,24,0.00031433042652899423,-0.021368108027716267,0.03882519115886621,-0.015752449910330365,-0.024575397645832515,0.04151873106515776,0.03143798335140858,-2.1141427456621944,3.9588738462661444,-1.5629028981724258,-2.427588115660584,4.23926867939477
